1,49
2,4
3,32
4,2
5,4
6,48
7,40
8,7
9,7
10,7
11,8
12,5
13,26
14,8
15,3
16,33
17,8
18,29
19,59
20,9
21,7
22,27
23,8
24,2
25,2
26,9
27,1
28,4
29,2
30,4
31,9
32,6
33,1
34,6
35,1
36,4
37,10
38,7
39,6
40,7
41,9
42,3
43,6
44,33
45,6
46,53
47,4
48,4
49,3
50,4
51,7
52,9
53,5
54,1
55,2
56,6
57,3
58,8
59,1
60,7
61,8
62,8
63,1
64,3
65,5
66,3
67,4
68,6
69,3
70,33
71,3
72,33
73,7
74,1
75,7
76,4
77,5
78,6
79,5
80,3
81,1
82,3
83,2
84,3
85,3
86,9
87,3
88,1
89,53
90,2
91,6
92,7
93,8
94,9
95,4
96,39
97,1
98,47
99,56
100,28
101,3
102,2
103,3
104,30
105,3
106,10
107,1
108,2
109,6
110,41
111,4
112,9
113,3
114,3
115,3
116,33
117,3
118,7
119,7
120,1
121,2
122,57
123,8
124,3
125,5
126,6
127,3
128,32
129,3
130,2
131,4
132,6
133,4
134,8
135,6
136,5
137,28
138,5
139,4
140,1
141,2
142,12
143,2
144,3
145,15
146,5
147,3
148,4
149,1
150,4
151,6
152,6
153,7
154,1
155,3
156,6
157,20
158,3
159,22
160,28
161,11
162,3
163,2
164,4
165,7
166,9
167,8
168,7
169,3
170,3
171,1
172,3
173,1
174,3
175,8
176,6
177,1
178,7
179,40
180,5
181,36
182,6
183,1
184,1
185,11
186,13
187,4
188,1
189,6
190,9
191,1
192,28
193,8
194,6
195,9
196,4
197,4
198,2
199,3
200,57
201,4
202,5
203,1
204,3
205,3
206,3
207,2
208,5
209,6
210,7
211,5
212,40
213,3
214,8
215,4
216,14
217,3
218,12
219,7
220,6
221,4
222,22
223,4
224,35
225,4
226,8
227,40
228,2
229,4
230,11
231,7
232,5
233,1
234,4
235,8
236,56
237,30
238,4
239,4
240,11
241,12
242,9
243,6
244,4
245,1
246,6
247,4
248,3
249,5
250,6
251,5
252,3
253,4
254,5
255,3
256,5
257,9
258,3
259,4
260,36
261,58
262,2
263,10
264,9
265,3
266,1
267,4
268,7
269,12
270,1
271,6
272,9
273,30
274,17
275,20
276,1
277,2
278,9
279,9
280,3
281,17
282,5
283,3
284,3
285,4
286,33
287,4
288,3
289,5
290,4
291,2
292,5
293,1
294,6
295,5
